iter	Passed	Remaining
0	78	39373
1	167	41694
2	260	43076
3	319	39660
4	385	38154
5	452	37229
6	547	38562
7	639	39350
8	704	38444
9	796	39033
10	858	38178
11	933	37952
12	1020	38231
13	1135	39413
14	1221	39501
15	1287	38937
16	1341	38109
17	1412	37832
18	1498	37939
19	1585	38062
20	1660	37867
21	1744	37906
22	1815	37662
23	1913	37945
24	1999	37993
25	2079	37909
26	2148	37631
27	2242	37800
28	2338	37983
29	2427	38033
30	2517	38087
31	2598	38006
32	2677	37888
33	2737	37518
34	2803	37240
35	2873	37041
36	2916	36491
37	3006	36557
38	3075	36348
39	3148	36202
40	3211	35958
41	3290	35887
42	3353	35638
43	3425	35499
44	3523	35630
45	3607	35605
46	3690	35568
47	3757	35386
48	3844	35385
49	3916	35249
50	4010	35310
51	4083	35177
52	4150	35004
53	4234	34970
54	4322	34970
55	4393	34835
