iter	Logloss
0	0.6075867239
1	0.5556980422
2	0.5209775541
3	0.4928294555
4	0.47423555
5	0.457767178
6	0.4501833345
7	0.4428729071
8	0.436402659
9	0.4308385962
10	0.4269669396
11	0.4231978538
12	0.4188204003
13	0.414787249
14	0.4121828716
15	0.4095940537
16	0.405545281
17	0.4038579566
18	0.4012772961
19	0.3984849025
20	0.3967818298
21	0.3934946315
22	0.39149603
23	0.3900182434
24	0.3880909524
25	0.3863686796
26	0.3844941165
27	0.3814687385
28	0.3785856914
29	0.3769966961
30	0.3749953029
31	0.3727031143
32	0.371631477
33	0.3700836131
34	0.3681447778
35	0.3667197313
36	0.3654617751
37	0.362649364
38	0.3609217012
39	0.3597761413
40	0.357586677
41	0.3548780945
42	0.3528201064
43	0.3506964644
44	0.3497171613
45	0.3490173087
46	0.3468001668
47	0.3455591171
48	0.3443745838
