iter	Passed	Remaining
0	10	12986
1	15	9232
2	24	9804
3	31	9529
4	41	9894
5	51	10178
6	60	10355
7	70	10487
8	80	10626
9	87	10423
10	97	10524
11	106	10592
12	116	10644
13	125	10667
14	135	10686
15	143	10642
16	152	10597
17	160	10547
18	169	10508
19	177	10457
20	185	10415
21	193	10382
22	202	10344
23	211	10357
24	220	10351
25	229	10351
26	237	10318
27	245	10276
28	250	10133
29	259	10108
30	267	10100
31	272	9954
32	279	9869
33	287	9856
34	295	9850
35	304	9847
36	313	9841
37	321	9832
38	330	9834
39	338	9818
40	347	9819
41	355	9810
42	364	9806
43	373	9799
44	381	9783
45	389	9775
46	396	9729
47	405	9728
48	413	9704
49	421	9701
50	429	9680
51	438	9673
52	446	9673
53	455	9657
54	463	9645
55	471	9641
56	480	9634
57	489	9632
58	497	9623
59	506	9619
60	511	9559
61	521	9569
62	530	9569
63	538	9564
64	547	9567
65	557	9578
66	567	9593
67	576	9593
68	584	9581
69	593	9575
70	601	9560
71	609	9556
72	618	9546
73	626	9532
74	634	9520
75	643	9519
76	652	9511
77	660	9504
78	669	9499
79	677	9487
80	686	9479
81	694	9463
82	702	9453
83	710	9443
84	719	9437
85	727	9429
86	736	9423
87	745	9418
88	753	9408
89	762	9407
90	771	9399
91	779	9393
92	788	9381
93	796	9375
94	805	9367
95	814	9361
96	822	9353
97	830	9343
98	839	9334
99	847	9323
100	855	9306
101	863	9297
102	871	9287
103	880	9279
104	888	9270
105	894	9236
106	902	9220
107	911	9212
108	919	9205
109	927	9192
110	936	9188
111	941	9148
112	948	9126
113	957	9117
114	965	9105
115	973	9099
116	982	9092
117	991	9088
118	997	9060
119	1005	9052
120	1014	9045
121	1023	9040
122	1029	9015
123	1037	9005
124	1046	8996
125	1053	8978
126	1061	8967
127	1070	8962
128	1078	8956
129	1087	8951
130	1096	8949
131	1104	8934
132	1113	8933
133	1122	8932
134	1131	8929
135	1140	8920
136	1149	8916
137	1157	8906
138	1166	8901
