iter	Logloss
0	0.6895946429
1	0.6851170887
2	0.6807067029
3	0.6771946553
4	0.6735927439
5	0.6715550717
6	0.6685364901
7	0.6656293976
8	0.6632439876
9	0.6604890263
10	0.6577625494
11	0.6540123109
12	0.6504663488
13	0.6485967729
14	0.6462873483
15	0.6426957204
16	0.6409254224
17	0.6391757516
18	0.6370687696
19	0.6353028851
20	0.6340522795
21	0.6321620246
22	0.6309883631
23	0.6285772334
24	0.6271973613
25	0.6261640873
26	0.624843797
27	0.622160889
28	0.621255187
29	0.6201628873
30	0.6184673882
31	0.6172651677
32	0.6163034213
33	0.6152378761
34	0.6134911779
35	0.6120751965
36	0.6097217631
37	0.6078671912
38	0.6064612564
39	0.6050011275
40	0.6038210604
41	0.602131441
42	0.601398873
43	0.5991048342
44	0.5980652783
45	0.5972669924
46	0.5958981877
47	0.5941145844
48	0.5930509671
49	0.5911862633
50	0.5900919475
51	0.589335319
52	0.5878261439
53	0.5863738543
54	0.5853961376
55	0.5837381093
56	0.5833167231
57	0.5827760285
58	0.5813573974
59	0.5804060477
60	0.5794207622
61	0.578002653
62	0.5776499145
63	0.5770248414
64	0.5768079785
65	0.575181408
66	0.5745370311
67	0.573256415
68	0.5726959788
69	0.5722266435
70	0.5716718521
71	0.5710258144
72	0.5706976554
73	0.5703424152
74	0.5698854486
75	0.5696777513
76	0.5688479761
77	0.5677622347
78	0.5672821729
79	0.5669700923
80	0.5664120392
81	0.5658392205
82	0.5651098079
83	0.5648312318
84	0.5642661869
85	0.5634760241
86	0.5626670535
87	0.5616984862
88	0.5614330521
89	0.5604185474
90	0.559310703
91	0.558877623
92	0.5587034913
93	0.5578607565
94	0.5574064373
95	0.5569440639
96	0.5565577112
97	0.5563407356
98	0.5562791327
99	0.5555661564
