iter	Passed	Remaining
0	18	1817
1	38	1907
2	59	1939
3	76	1846
4	97	1860
5	116	1825
6	137	1831
7	158	1826
8	181	1832
9	202	1822
10	223	1809
11	244	1793
12	266	1781
13	287	1764
14	307	1744
15	328	1725
16	351	1715
17	372	1695
18	393	1676
19	414	1657
20	438	1648
21	460	1632
22	482	1616
23	506	1602
24	529	1588
25	551	1570
26	574	1553
27	601	1546
28	625	1531
29	648	1513
30	671	1495
31	693	1472
32	713	1449
33	734	1426
34	757	1407
35	779	1386
36	801	1363
37	822	1342
38	843	1319
39	864	1296
40	884	1273
41	905	1250
42	926	1228
43	949	1207
44	971	1187
45	995	1168
46	1018	1148
47	1042	1129
48	1066	1110
49	1094	1094
50	1120	1076
51	1146	1058
52	1171	1039
53	1195	1018
54	1216	995
55	1237	972
56	1261	951
57	1282	928
58	1303	906
59	1324	883
60	1345	860
61	1367	837
62	1387	815
63	1408	792
64	1429	769
65	1452	748
66	1472	725
67	1493	702
68	1516	681
69	1538	659
70	1558	636
71	1579	614
72	1599	591
73	1619	569
74	1641	547
75	1663	525
76	1686	503
77	1707	481
78	1728	459
79	1749	437
80	1770	415
81	1790	393
82	1811	371
83	1832	349
84	1853	327
85	1873	305
86	1894	283
87	1914	261
88	1938	239
89	1959	217
90	1980	195
91	2004	174
92	2025	152
93	2045	130
94	2066	108
95	2086	86
96	2107	65
97	2127	43
98	2149	21
99	2173	0
