iter	Passed	Remaining
0	31	3136
1	66	3281
2	97	3152
3	131	3144
4	162	3091
5	195	3067
6	230	3063
7	266	3060
8	300	3034
9	335	3022
10	370	3000
11	404	2965
12	442	2959
13	478	2939
14	512	2905
15	548	2879
16	581	2840
17	616	2808
18	652	2783
19	688	2753
20	725	2730
21	761	2700
22	795	2661
23	831	2631
24	887	2662
25	927	2640
26	964	2606
27	1003	2579
28	1041	2551
29	1085	2533
30	1126	2507
31	1164	2474
32	1199	2436
33	1236	2401
34	1275	2368
35	1311	2331
36	1346	2292
37	1383	2256
38	1417	2217
39	1454	2181
40	1493	2148
41	1532	2116
42	1571	2082
43	1609	2048
44	1646	2012
45	1685	1978
46	1721	1941
47	1758	1904
48	1794	1867
49	1829	1829
50	1866	1793
51	1903	1757
52	1940	1720
53	1975	1682
54	2011	1645
55	2046	1608
56	2082	1571
57	2115	1531
58	2150	1494
59	2185	1456
60	2222	1420
61	2257	1383
62	2292	1346
63	2329	1310
64	2363	1272
65	2398	1235
66	2433	1198
67	2468	1161
68	2504	1125
69	2541	1089
70	2576	1052
71	2610	1015
72	2645	978
73	2678	941
74	2712	904
75	2744	866
76	2778	829
77	2812	793
78	2847	756
79	2884	721
80	2920	684
81	2954	648
82	2987	611
83	3018	575
84	3054	539
85	3087	502
86	3122	466
87	3157	430
88	3193	394
89	3231	359
90	3264	322
91	3299	286
92	3339	251
93	3375	215
94	3409	179
95	3443	143
96	3481	107
97	3521	71
98	3555	35
99	3591	0
